Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AmazonCategory_Excel_DDT_001,Chrome 121.0.0.0,,,31-01-2024 23:34:06,31-01-2024 23:35:32,1m - 25.362s,PASSED
,,,,,,,
Test Cases/006_TC_AMAZON_ValidationAmazonCategory_DDTExcel,Chrome 121.0.0.0,Test Case to validate the AUT-AMAZON for seach field.,,31-01-2024 23:34:07,31-01-2024 23:35:02,54.927s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,31-01-2024 23:34:07,31-01-2024 23:34:09,1.840s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,31-01-2024 23:34:09,31-01-2024 23:34:14,5.180s,PASSED
"selectOptionByLabel(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/All Departments""), category, false)",Chrome 121.0.0.0,,,31-01-2024 23:34:14,31-01-2024 23:34:49,35.401s,PASSED
"setText(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/input_Search_field""), item)",Chrome 121.0.0.0,,,31-01-2024 23:34:49,31-01-2024 23:34:51,1.719s,PASSED
"click(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/Search-submit-button""))",Chrome 121.0.0.0,,,31-01-2024 23:34:51,31-01-2024 23:35:01,10.172s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,31-01-2024 23:35:01,31-01-2024 23:35:02,0.267s,PASSED
,,,,,,,
Test Cases/006_TC_AMAZON_ValidationAmazonCategory_DDTExcel,Chrome 121.0.0.0,Test Case to validate the AUT-AMAZON for seach field.,,31-01-2024 23:35:02,31-01-2024 23:35:32,30.101s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,31-01-2024 23:35:02,31-01-2024 23:35:02,0.828s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,31-01-2024 23:35:02,31-01-2024 23:35:04,1.804s,PASSED
"selectOptionByLabel(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/All Departments""), category, false)",Chrome 121.0.0.0,,,31-01-2024 23:35:04,31-01-2024 23:35:21,17.193s,PASSED
"setText(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/input_Search_field""), item)",Chrome 121.0.0.0,,,31-01-2024 23:35:21,31-01-2024 23:35:24,2.330s,PASSED
"click(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/Search-submit-button""))",Chrome 121.0.0.0,,,31-01-2024 23:35:24,31-01-2024 23:35:32,7.715s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,31-01-2024 23:35:32,31-01-2024 23:35:32,0.191s,PASSED
