Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AmazonCategory_InternalData_DDT_003,Chrome 121.0.0.0,,,31-01-2024 23:47:38,31-01-2024 23:49:24,1m - 46.617s,PASSED
,,,,,,,
Test Cases/008_TC_AMAZON_ValidationAmazonCategory_DDT_InternalData,Chrome 121.0.0.0,Test Case to validate the AUT-AMAZON for seach field.,,31-01-2024 23:47:38,31-01-2024 23:48:31,53.254s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,31-01-2024 23:47:38,31-01-2024 23:47:40,2.086s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,31-01-2024 23:47:40,31-01-2024 23:47:44,3.724s,PASSED
"selectOptionByLabel(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/All Departments""), category, false)",Chrome 121.0.0.0,,,31-01-2024 23:47:44,31-01-2024 23:48:19,35.140s,PASSED
"setText(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/input_Search_field""), item)",Chrome 121.0.0.0,,,31-01-2024 23:48:19,31-01-2024 23:48:21,1.634s,PASSED
"click(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/Search-submit-button""))",Chrome 121.0.0.0,,,31-01-2024 23:48:21,31-01-2024 23:48:31,10.093s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,31-01-2024 23:48:31,31-01-2024 23:48:31,0.261s,PASSED
,,,,,,,
Test Cases/008_TC_AMAZON_ValidationAmazonCategory_DDT_InternalData,Chrome 121.0.0.0,Test Case to validate the AUT-AMAZON for seach field.,,31-01-2024 23:48:31,31-01-2024 23:49:24,53.096s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,31-01-2024 23:48:31,31-01-2024 23:48:32,0.801s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,31-01-2024 23:48:32,31-01-2024 23:48:34,1.627s,PASSED
"selectOptionByLabel(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/All Departments""), category, false)",Chrome 121.0.0.0,,,31-01-2024 23:48:34,31-01-2024 23:49:15,40.717s,PASSED
"setText(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/input_Search_field""), item)",Chrome 121.0.0.0,,,31-01-2024 23:49:15,31-01-2024 23:49:17,2.598s,PASSED
"click(findTestObject(""AMAZON_CategoryValidationDDT_OR/Page_Amazon.com. Spend less. Smile more/Search-submit-button""))",Chrome 121.0.0.0,,,31-01-2024 23:49:17,31-01-2024 23:49:24,7.135s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,31-01-2024 23:49:24,31-01-2024 23:49:24,0.184s,PASSED
